t,g,c,n,k,i,y,g_pct,c_pct,n_pct,k_pct,i_pct,y_pct
0,0.3,0.49299828943907986,0.5592216802543712,2.4256406129624244,0.11455891849126543,0.9075572079303452,49.99999999999998,-1.4497341559577936,2.2202977800390933,0.0,-40.96460648422525,1.4822026652074216
1,0.2,0.4938662368356024,0.5531522639324467,2.346148282416696,0.19722720205116406,0.8910934388867665,0.0,-1.2762316337416202,1.1108673597164165,-3.277168518738005,1.636656826447247,-0.3587606725460102
2,0.2,0.4946291620553165,0.5524254367059704,2.3556836218745247,0.19687208488378394,0.8915012469391005,0.0,-1.1237230250251584,0.9780103941366081,-2.884062491123185,1.4536550837929596,-0.3131599555291298
3,0.2,0.4952997947540916,0.5517891607857969,2.364101017008347,0.1965625139055467,0.8918623086596386,0.0,-0.9896636739811893,0.861705328852258,-2.5370450851298743,1.2941245578244054,-0.27278636984425786
4,0.2,0.49588927219717416,0.5512323666473906,2.371535449553226,0.19629390622804355,0.8921831784252181,0.0,-0.871827243370138,0.7599287621709028,-2.230551513693535,1.1557035588171116,-0.2369070111711724
5,0.2,0.4964073418901567,0.550745481329204,2.3781065198170115,0.19606231969651278,0.8924696615866694,0.0,-0.7682652086473452,0.6709308495951083,-1.9596511078926793,1.036360584896534,-0.20487273058089617
6,0.2,0.4968625357921841,0.5503202296360115,2.3839203179281636,0.19586440801983462,0.8927269438120187,0.0,-0.6772720327756221,0.5931989657206538,-1.7199701724695315,0.9343711992778836,-0.176103671499106
7,0.2,0.4972623207312985,0.5499494677014727,2.3890711005137453,0.1956973835407383,0.8929597042720369,0.0,-0.5973550982260156,0.525427281087798,-1.5076228627297295,0.8482988447193751,-0.15007661340336043
8,0.2,0.4976132283785559,0.5496270436693291,2.393642796013384,0.1955589880089459,0.893172216387502,0.0,-0.5272087251761759,0.46649129605560447,-1.3191491261338006,0.7769797821113311,-0.12631370635795003
9,0.2,0.4979209675780667,0.5493476813497704,2.397710360341259,0.19544747168817356,0.8933684392662403,0.0,-0.46569171675627796,0.41542657431443697,-1.1514588134741932,0.719512323733329,-0.10437224660899691
10,0.2,0.4981905213698852,0.5491068835770365,2.401341003202132,0.19536158115999802,0.8935521025298835,0.0,-0.411807964191524,0.3714110775932866,-1.0017811224975914,0.675250548247841,-0.08383519133543516
11,0.2,0.49842623066068237,0.5489008526933886,2.4045953041059596,0.1953005562704253,0.8937267869311077,0.0,-0.3646897210503486,0.33375063090104184,-0.8676185888379484,0.64380272718223,-0.06430214410426682
12,0.2,0.49863186617675304,0.548726426155966,2.407528236047908,0.1952641367908705,0.8938960029676238,0.0,-0.3235832198517419,0.3018671520846006,-0.7467048835563372,0.6250347575167403,-0.04538056432739079
13,0.2,0.49881069006255707,0.5485810257391729,2.410190113954946,0.19525257952987873,0.8940632695924361,0.0,-0.2878363585283372,0.27528936651810554,-0.6369657122704875,0.6190789798295793,-0.026676965953653653
14,0.2,0.49896550825525043,0.5484626192110634,2.412627484368429,0.1952666868341928,0.8942321950894433,0.0,-0.25688823076752687,0.2536458019178456,-0.536482136902483,0.6263488656891525,-0.007787874034370645
15,0.2,0.4990987145636172,0.5483696937171998,2.4148839724531475,0.19530784765849551,0.8944065622221129,0.0,-0.2302603146411064,0.23665992316976858,-0.4434556566951575,0.6475601820331578,0.01170969652217746
16,0.2,0.49921232720175235,0.5483012404252062,2.4170011023153912,0.19537809266504258,0.894590419866795,0.0,-0.20754916952901992,0.22414732550291028,-0.3561743895968861,0.6837593855403057,0.03226848730268905
17,0.2,0.4993080183685028,0.548256750280341,2.4190191067952025,0.1954801651414968,0.89478818351,0.0,-0.1884205231945435,0.21601495864917997,-0.27297968758591695,0.7363601685606458,0.05438223390088481
18,0.2,0.4993871373185046,0.5482362210073883,2.4209777433930832,0.19561760990295562,0.8950047472214606,0.0,-0.1726046598883091,0.21226240672114205,-0.1922324990941804,0.807189272800346,0.07859818664119889
19,0.2,0.49945072723608686,0.5482401757759495,2.4229171338245923,0.19579488277857093,0.895245610014658,0.0,-0.15989304725804176,0.2129853000463644,-0.11227875734262094,0.8985429108186782,0.10553124009520243
