t,g,q,B_t,B_tplus1,tau
0,0.3,0.9566286526304574,0.0,0.07999999999999999,0.2234697077895634
1,0.2,0.9570408401807088,0.07999999999999999,0.047999999999999994,0.234062039671326
2,0.2,0.9574020924614564,0.047999999999999994,0.028799999999999996,0.22042681973711006
3,0.2,0.9577189988673861,0.028799999999999996,0.017279999999999993,0.21225061569957157
4,0.2,0.9579972601604084,0.017279999999999993,0.010367999999999997,0.2073474844066569
5,0.2,0.9582418236634733,0.010367999999999997,0.006220799999999998,0.20440696926335428
6,0.2,0.9584569944436094,0.006220799999999998,0.0037324799999999985,0.20264337843737912
7,0.2,0.9586465288925535,0.0037324799999999985,0.002239487999999999,0.2015856026023035
8,0.2,0.958813713999318,0.002239487999999999,0.0013436927999999993,0.20095113691595787
9,0.2,0.9589614349417649,0.0013436927999999993,0.0008062156799999997,0.20057056305463464
10,0.2,0.9590922331116416,0.0008062156799999997,0.00048372940799999974,0.20034227456185952
11,0.2,0.9592083562928617,0.00048372940799999974,0.00029023764479999984,0.2002053310337971
12,0.2,0.9593118024062697,0.00029023764479999984,0.0001741425868799999,0.20012318060590445
13,0.2,0.9594043579971149,0.0001741425868799999,0.00010448555212799994,0.2000738986928207
14,0.2,0.9594876324567599,0.00010448555212799994,6.269133127679995e-05,0.20004433399510568
15,0.2,0.9595630888277495,6.269133127679995e-05,3.7614798766079975e-05,0.20002659755878718
16,0.2,0.9596320719315885,3.7614798766079975e-05,2.2568879259647985e-05,0.20001595697840097
17,0.2,0.9596958344757589,2.2568879259647985e-05,1.3541327555788789e-05,0.20000957332361108
18,0.2,0.9597555617347197,1.3541327555788789e-05,8.124796533473274e-06,0.20000574350889483
19,0.2,0.9599763951109924,8.124796533473274e-06,0.0,0.2000081247965335
