t,g,q,B_t,B_tplus1,tau
0,0.3,0.9566286526304574,0.0,0.0,0.3
1,0.2,0.9570408401807088,0.0,0.0,0.2
2,0.2,0.9574020924614564,0.0,0.0,0.2
3,0.2,0.9577189988673861,0.0,0.0,0.2
4,0.2,0.9579972601604084,0.0,0.0,0.2
5,0.2,0.9582418236634733,0.0,0.0,0.2
6,0.2,0.9584569944436094,0.0,0.0,0.2
7,0.2,0.9586465288925535,0.0,0.0,0.2
8,0.2,0.958813713999318,0.0,0.0,0.2
9,0.2,0.9589614349417649,0.0,0.0,0.2
10,0.2,0.9590922331116416,0.0,0.0,0.2
11,0.2,0.9592083562928617,0.0,0.0,0.2
12,0.2,0.9593118024062697,0.0,0.0,0.2
13,0.2,0.9594043579971149,0.0,0.0,0.2
14,0.2,0.9594876324567599,0.0,0.0,0.2
15,0.2,0.9595630888277495,0.0,0.0,0.2
16,0.2,0.9596320719315885,0.0,0.0,0.2
17,0.2,0.9596958344757589,0.0,0.0,0.2
18,0.2,0.9597555617347197,0.0,0.0,0.2
19,0.2,0.9599763951109924,0.0,0.0,0.2
